W-0b	claude	0	★★ ENCODE BEFORE THE WAVE	NONE
W-01	claude	0	ds-018 C2 follow-through	NONE
W-02	claude	0	dv-legend/dv-behaviour CEILING	NONE
W-03	claude	0	ds-012(b) gutter-relative plot area	NONE
W-04	claude	0	DV-D16 floating growth	NONE
W-05	claude	0	Instrument-fit remainder	NONE
W-06	claude	0	ds-016, UNRULED	NONE
W-07	claude	0	ds-017, UNRULED	NONE
W-08	claude	0	STILL OWED, unchanged, none superseded	NONE
W-09	claude	0	DELEGATION TOPOLOGY, UNSCOPED	NONE
W-10	claude	0	✅ PER-GATE TEST PLAN	NONE
W-11	claude	0	THE 2c-ROLL / INDEX-VOCABULARY DEADLOCK	NONE
W-12	claude	0	THE #57 1b DOSSIER	NONE
W-13	claude	0	/tmp RUNBOOK EXPOSURE, UNFIXED	NONE
W-17	claude	185	Memento close-out: rebuild parts 4-5 (GM archive, rolls retired, boot shrink)	_CHAIN.md generation stands alone and GOOD-MORNING.md is archived, or Dave parks it explicitly
W-35	claude	194	#194 divvy plan for parallel windows (sole-committer rule)	the #194 parallel windows close and their receipts are reconciled by the conductor, or the divvy is superseded by a later session's plan
W-38	dave	200	Size-ramp + per-theme size modes proposal (FLOATED, Dave's instinct, #200)	Dave rules the pair semantics and the per-theme mode mapping, or drops the shape
W-41	dave	203	#203 delegated-wrap brief (DO-NOT-RULE list + session facts for the Opus wrap sub)	the #203 wrap commit is pushed by the conductor under s203-D1 AND the CI read-back is relayed to Dave in chat - both limbs, per the ruling's own words
W-42	claude	203	#204 PM-topology trial brief (Fable judgment-only; Opus build-PM + adversarial verifier-PM) - ruled s203-D2	the #204 trial runs the topology and its five measured numbers (Fable FILL, quota deltas, sub spend, contradiction yield, lossy-hop tally) are returned to Dave 
W-43	claude	204	#204 build-PM brief (four build lanes + lane-1 CI repair, under the s203-D2 PM-topology trial)	the #204 wrap commit lands and its CI read-back is relayed to Dave in chat - the same both-limbs condition W-42 carries for this trial
